N,M,input_size,output_size,ratio,compress_time,decompress_time
5,5,5,5,1.0,0.024688300000000003,0.022222199999999998
5,10,5,5,1.0,0.024280700000000002,0.022799600000000017
5,15,5,6,0.8333333333333334,0.024130100000000015,0.02267749999999999
5,30,5,6,0.8333333333333334,0.023482699999999995,0.022497800000000012
50,5,50,42,1.1904761904761905,0.027937800000000013,0.025310800000000022
50,10,50,46,1.0869565217391304,0.02626329999999999,0.025705100000000036
50,15,50,46,1.0869565217391304,0.02691760000000004,0.026042500000000024
50,30,50,51,0.9803921568627451,0.026617700000000022,0.025782300000000036
500,5,500,405,1.2345679012345678,0.055833100000000024,0.05211389999999999
500,10,500,441,1.1337868480725624,0.05435520000000005,0.05314850000000004
500,15,500,460,1.0869565217391304,0.0577261,0.05312620000000001
500,30,500,509,0.9823182711198428,0.054812299999999925,0.05273349999999999
5000,5,5000,4004,1.2487512487512487,0.3149054,0.31764839999999994
5000,10,5000,4422,1.1307100859339665,0.3250824000000001,0.3166965999999998
5000,15,5000,4641,1.077354018530489,0.33114649999999957,0.3273387999999997
5000,30,5000,5114,0.9777082518576456,0.32654669999999975,0.3280504999999998
