#,Datoteka,Velikost original (B),Velikost stisnjena (B),Razmerje (orig./stisn.),Čas kompresije (ms),Čas dekompresije (ms),PSNR (dB)
1,Rainier.bmp,2074678,968481,2.142,267.27,240.17,99.00
2,Pens.bmp,246838,146371,1.686,50.51,37.19,99.00
3,Monarch.bmp,394294,224848,1.754,68.33,54.91,99.00
4,Zelda.bmp,415798,252754,1.645,69.01,56.43,99.00
5,Girl.bmp,415798,252452,1.647,76.92,61.70,99.00
6,Peppers.bmp,263222,185146,1.422,71.62,38.27,99.00
7,Sailing.bmp,394294,236277,1.669,69.19,53.51,99.00
8,HOTEL.bmp,415798,273907,1.518,69.88,60.91,99.00
9,Barbara.bmp,263224,196036,1.343,51.19,48.63,99.00
10,Barb.bmp,415798,292491,1.422,69.15,63.33,99.00
